mes,borough,payment_method,fare_class_category,ridership
2020-08,Queens,omny,OMNY - Full Fare,316942
2020-08,Staten Island,metrocard,Metrocard - Fair Fare,1518
2020-08,Staten Island,metrocard,Metrocard - Full Fare,43638
2020-08,Staten Island,metrocard,Metrocard - Other,10018
2020-08,Staten Island,metrocard,Metrocard - Seniors & Disability,3274
2020-08,Staten Island,metrocard,Metrocard - Unlimited 30-Day,4431
2020-08,Staten Island,metrocard,Metrocard - Unlimited 7-Day,4304
2020-08,Staten Island,omny,OMNY - Full Fare,3853
2020-09,Bronx,metrocard,Metrocard - Fair Fare,229934
2020-09,Bronx,metrocard,Metrocard - Full Fare,2172482
2020-09,Bronx,metrocard,Metrocard - Other,312606
2020-09,Bronx,metrocard,Metrocard - Seniors & Disability,162239
2020-09,Bronx,metrocard,Metrocard - Students,16007
2020-09,Bronx,metrocard,Metrocard - Unlimited 30-Day,560917
2020-09,Bronx,metrocard,Metrocard - Unlimited 7-Day,1083322
2020-09,Bronx,omny,OMNY - Full Fare,344887
2020-09,Brooklyn,metrocard,Metrocard - Fair Fare,359356
2020-09,Brooklyn,metrocard,Metrocard - Full Fare,5653064
2020-09,Brooklyn,metrocard,Metrocard - Other,680026
2020-09,Brooklyn,metrocard,Metrocard - Seniors & Disability,452550
2020-09,Brooklyn,metrocard,Metrocard - Students,39563
2020-09,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1499468
2020-09,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1742414
2020-09,Brooklyn,omny,OMNY - Full Fare,344547
2020-09,Manhattan,metrocard,Metrocard - Fair Fare,512021
2020-09,Manhattan,metrocard,Metrocard - Full Fare,9535735
2020-09,Manhattan,metrocard,Metrocard - Other,1230177
2020-09,Manhattan,metrocard,Metrocard - Seniors & Disability,826348
2020-09,Manhattan,metrocard,Metrocard - Students,51884
2020-09,Manhattan,metrocard,Metrocard - Unlimited 30-Day,2651450
2020-09,Manhattan,metrocard,Metrocard - Unlimited 7-Day,2753118
2020-09,Manhattan,omny,OMNY - Full Fare,1930394
2020-09,Queens,metrocard,Metrocard - Fair Fare,174262
2020-09,Queens,metrocard,Metrocard - Full Fare,3861226
2020-09,Queens,metrocard,Metrocard - Other,417969
2020-09,Queens,metrocard,Metrocard - Seniors & Disability,309627
2020-09,Queens,metrocard,Metrocard - Students,18423
2020-09,Queens,metrocard,Metrocard - Unlimited 30-Day,1038656
2020-09,Queens,metrocard,Metrocard - Unlimited 7-Day,1438478
2020-09,Queens,omny,OMNY - Full Fare,404537
2020-09,Staten Island,metrocard,Metrocard - Fair Fare,1931
2020-09,Staten Island,metrocard,Metrocard - Full Fare,49067
2020-09,Staten Island,metrocard,Metrocard - Other,10750
2020-09,Staten Island,metrocard,Metrocard - Seniors & Disability,4013
2020-09,Staten Island,metrocard,Metrocard - Students,801
2020-09,Staten Island,metrocard,Metrocard - Unlimited 30-Day,5978
2020-09,Staten Island,metrocard,Metrocard - Unlimited 7-Day,6756
2020-09,Staten Island,omny,OMNY - Full Fare,4578
2020-10,Bronx,metrocard,Metrocard - Fair Fare,273500
2020-10,Bronx,metrocard,Metrocard - Full Fare,2245839
2020-10,Bronx,metrocard,Metrocard - Other,369886
2020-10,Bronx,metrocard,Metrocard - Seniors & Disability,172547
2020-10,Bronx,metrocard,Metrocard - Students,107886
2020-10,Bronx,metrocard,Metrocard - Unlimited 30-Day,648644
2020-10,Bronx,metrocard,Metrocard - Unlimited 7-Day,1242321
2020-10,Bronx,omny,OMNY - Full Fare,385279
2020-10,Brooklyn,metrocard,Metrocard - Fair Fare,424393
2020-10,Brooklyn,metrocard,Metrocard - Full Fare,5839414
2020-10,Brooklyn,metrocard,Metrocard - Other,767097
2020-10,Brooklyn,metrocard,Metrocard - Seniors & Disability,473836
2020-10,Brooklyn,metrocard,Metrocard - Students,217933
2020-10,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1746421
2020-10,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1993708
2020-10,Brooklyn,omny,OMNY - Full Fare,573268
2020-10,Manhattan,metrocard,Metrocard - Fair Fare,609900
2020-10,Manhattan,metrocard,Metrocard - Full Fare,10253334
2020-10,Manhattan,metrocard,Metrocard - Other,1415269
2020-10,Manhattan,metrocard,Metrocard - Seniors & Disability,892421
2020-10,Manhattan,metrocard,Metrocard - Students,253139
2020-10,Manhattan,metrocard,Metrocard - Unlimited 30-Day,3162519
2020-10,Manhattan,metrocard,Metrocard - Unlimited 7-Day,3198419
2020-10,Manhattan,omny,OMNY - Full Fare,2477195
2020-10,Queens,metrocard,Metrocard - Fair Fare,203621
2020-10,Queens,metrocard,Metrocard - Full Fare,3959920
2020-10,Queens,metrocard,Metrocard - Other,462725
2020-10,Queens,metrocard,Metrocard - Seniors & Disability,324773
2020-10,Queens,metrocard,Metrocard - Students,134921
2020-10,Queens,metrocard,Metrocard - Unlimited 30-Day,1206043
2020-10,Queens,metrocard,Metrocard - Unlimited 7-Day,1627230
2020-10,Queens,omny,OMNY - Full Fare,492384
2020-10,Staten Island,metrocard,Metrocard - Fair Fare,2077
2020-10,Staten Island,metrocard,Metrocard - Full Fare,51443
2020-10,Staten Island,metrocard,Metrocard - Other,12013
2020-10,Staten Island,metrocard,Metrocard - Seniors & Disability,4283
2020-10,Staten Island,metrocard,Metrocard - Students,2118
2020-10,Staten Island,metrocard,Metrocard - Unlimited 30-Day,7646
2020-10,Staten Island,metrocard,Metrocard - Unlimited 7-Day,8648
2020-10,Staten Island,omny,OMNY - Full Fare,5515
2020-11,Bronx,metrocard,Metrocard - Fair Fare,273652
2020-11,Bronx,metrocard,Metrocard - Full Fare,1986200
2020-11,Bronx,metrocard,Metrocard - Other,337690
2020-11,Bronx,metrocard,Metrocard - Seniors & Disability,157265
2020-11,Bronx,metrocard,Metrocard - Students,94062
2020-11,Bronx,metrocard,Metrocard - Unlimited 30-Day,582836
2020-11,Bronx,metrocard,Metrocard - Unlimited 7-Day,1124383
2020-11,Bronx,omny,OMNY - Full Fare,395913
2020-11,Brooklyn,metrocard,Metrocard - Fair Fare,421946
2020-11,Brooklyn,metrocard,Metrocard - Full Fare,5111821
2020-11,Brooklyn,metrocard,Metrocard - Other,691808
2020-11,Brooklyn,metrocard,Metrocard - Seniors & Disability,436849
2020-11,Brooklyn,metrocard,Metrocard - Students,198059
2020-11,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1591595
2020-11,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1841449
2020-11,Brooklyn,omny,OMNY - Full Fare,751504
2020-11,Manhattan,metrocard,Metrocard - Fair Fare,604324
2020-11,Manhattan,metrocard,Metrocard - Full Fare,8893403
2020-11,Manhattan,metrocard,Metrocard - Other,1261712
2020-11,Manhattan,metrocard,Metrocard - Seniors & Disability,816673
2020-11,Manhattan,metrocard,Metrocard - Students,218266
2020-11,Manhattan,metrocard,Metrocard - Unlimited 30-Day,2854820
2020-11,Manhattan,metrocard,Metrocard - Unlimited 7-Day,2917946
2020-11,Manhattan,omny,OMNY - Full Fare,2468007
2020-11,Queens,metrocard,Metrocard - Fair Fare,204372
2020-11,Queens,metrocard,Metrocard - Full Fare,3563407
2020-11,Queens,metrocard,Metrocard - Other,430990
2020-11,Queens,metrocard,Metrocard - Seniors & Disability,303363
2020-11,Queens,metrocard,Metrocard - Students,120309
2020-11,Queens,metrocard,Metrocard - Unlimited 30-Day,1125217
2020-11,Queens,metrocard,Metrocard - Unlimited 7-Day,1512901
2020-11,Queens,omny,OMNY - Full Fare,520552
2020-11,Staten Island,metrocard,Metrocard - Fair Fare,1866
2020-11,Staten Island,metrocard,Metrocard - Full Fare,42762
2020-11,Staten Island,metrocard,Metrocard - Other,9690
2020-11,Staten Island,metrocard,Metrocard - Seniors & Disability,3809
2020-11,Staten Island,metrocard,Metrocard - Students,1016
2020-11,Staten Island,metrocard,Metrocard - Unlimited 30-Day,6708
2020-11,Staten Island,metrocard,Metrocard - Unlimited 7-Day,7034
2020-11,Staten Island,omny,OMNY - Full Fare,5072
2020-12,Bronx,metrocard,Metrocard - Fair Fare,296530
2020-12,Bronx,metrocard,Metrocard - Full Fare,2057783
