station_complex_id,dow,hora,ridership
101,0,23,1753
101,1,0,1004
101,1,1,430
101,1,2,246
101,1,3,204
101,1,4,328
101,1,5,885
101,1,6,2506
101,1,7,6759
101,1,8,15173
101,1,9,11058
101,1,10,5244
101,1,11,4394
101,1,12,4452
101,1,13,4863
101,1,14,5715
101,1,15,6717
101,1,16,8222
101,1,17,8039
101,1,18,7337
101,1,19,4917
101,1,20,3666
101,1,21,2549
101,1,22,2117
101,1,23,1568
101,2,0,796
101,2,1,378
101,2,2,232
101,2,3,163
101,2,4,348
101,2,5,1019
101,2,6,2963
101,2,7,8372
101,2,8,18695
101,2,9,12757
101,2,10,5474
101,2,11,4444
101,2,12,4112
101,2,13,4523
101,2,14,5128
101,2,15,6420
101,2,16,7924
101,2,17,8239
101,2,18,7426
101,2,19,5071
101,2,20,3497
101,2,21,2732
101,2,22,2138
101,2,23,1639
101,3,0,1314
101,3,1,895
101,3,2,609
101,3,3,285
101,3,4,413
101,3,5,1117
101,3,6,3139
101,3,7,8387
101,3,8,18577
101,3,9,12902
101,3,10,6183
101,3,11,4936
101,3,12,5009
101,3,13,5372
101,3,14,6034
101,3,15,7276
101,3,16,8428
101,3,17,8992
101,3,18,8023
101,3,19,5820
101,3,20,4153
101,3,21,3113
101,3,22,2551
101,3,23,1967
101,4,0,1080
101,4,1,458
101,4,2,283
101,4,3,214
101,4,4,408
101,4,5,1101
101,4,6,3126
101,4,7,8863
101,4,8,19541
101,4,9,13827
101,4,10,6416
101,4,11,5070
101,4,12,4841
101,4,13,5478
101,4,14,6192
101,4,15,7895
101,4,16,9493
101,4,17,9648
101,4,18,8602
101,4,19,6060
101,4,20,4504
101,4,21,3441
101,4,22,2753
101,4,23,2169
101,5,0,1326
101,5,1,576
101,5,2,365
101,5,3,222
101,5,4,343
101,5,5,1016
101,5,6,3007
101,5,7,8056
101,5,8,17977
101,5,9,12980
101,5,10,6029
101,5,11,4818
101,5,12,5271
101,5,13,6350
101,5,14,7166
101,5,15,9191
101,5,16,9814
101,5,17,8492
101,5,18,7293
101,5,19,5588
101,5,20,4390
101,5,21,3514
101,5,22,2875
101,5,23,2625
101,6,0,2180
101,6,1,1218
101,6,2,810
101,6,3,514
101,6,4,422
101,6,5,461
101,6,6,925
101,6,7,1672
101,6,8,2871
101,6,9,3757
101,6,10,4509
101,6,11,5422
101,6,12,6083
101,6,13,6563
101,6,14,6881
101,6,15,6925
101,6,16,7322
101,6,17,7025
101,6,18,6838
101,6,19,5880
101,6,20,4667
101,6,21,3644
101,6,22,3214
101,6,23,3110
103,0,0,1001
103,0,1,744
103,0,2,576
103,0,3,344
103,0,4,222
103,0,5,115
103,0,6,104
103,0,7,164
103,0,8,269
103,0,9,398
103,0,10,606
103,0,11,778
103,0,12,930
103,0,13,1343
103,0,14,1723
103,0,15,1892
103,0,16,2141
103,0,17,2135
103,0,18,1986
103,0,19,1707
103,0,20,1433
103,0,21,999
103,0,22,1060
103,0,23,745
103,1,0,440
103,1,1,170
103,1,2,146
103,1,3,77
103,1,4,79
103,1,5,81
103,1,6,193
103,1,7,475
103,1,8,1235
103,1,9,1021
103,1,10,773
103,1,11,924
103,1,12,1137
103,1,13,1301
103,1,14,1443
103,1,15,2013
103,1,16,2168
103,1,17,3063
103,1,18,2806
103,1,19,2184
103,1,20,1537
103,1,21,1207
103,1,22,1048
103,1,23,766
103,2,0,361
103,2,1,159
103,2,2,126
103,2,3,73
103,2,4,50
103,2,5,64
103,2,6,203
103,2,7,594
103,2,8,1477
103,2,9,1129
103,2,10,732
103,2,11,863
103,2,12,1060
103,2,13,1236
103,2,14,1413
103,2,15,2013
103,2,16,2289
103,2,17,3106
103,2,18,2779
103,2,19,2180
103,2,20,1751
103,2,21,1386
103,2,22,1153
103,2,23,872
103,3,0,495
103,3,1,454
103,3,2,408
103,3,3,236
103,3,4,160
103,3,5,104
103,3,6,236
103,3,7,608
103,3,8,1621
103,3,9,1231
103,3,10,916
103,3,11,1041
103,3,12,1327
103,3,13,1400
103,3,14,1561
103,3,15,2293
103,3,16,2673
103,3,17,3363
103,3,18,3118
103,3,19,2620
103,3,20,2057
103,3,21,1679
103,3,22,1517
103,3,23,1095
103,4,0,572
103,4,1,223
103,4,2,219
103,4,3,84
103,4,4,89
103,4,5,77
103,4,6,212
103,4,7,650
103,4,8,1581
103,4,9,1313
103,4,10,916
103,4,11,1027
103,4,12,1254
103,4,13,1457
103,4,14,1645
103,4,15,2380
103,4,16,2634
103,4,17,3589
103,4,18,3371
103,4,19,2616
103,4,20,2341
103,4,21,1846
103,4,22,1731
103,4,23,1323
103,5,0,717
103,5,1,360
103,5,2,283
103,5,3,163
103,5,4,124
103,5,5,100
103,5,6,208
103,5,7,579
103,5,8,1492
103,5,9,1261
103,5,10,969
103,5,11,1104
103,5,12,1400
103,5,13,1570
103,5,14,1871
103,5,15,2468
103,5,16,2852
103,5,17,3445
103,5,18,3178
103,5,19,2677
103,5,20,2275
103,5,21,1887
103,5,22,1744
103,5,23,1649
103,6,0,1232
103,6,1,754
103,6,2,589
103,6,3,320
103,6,4,223
103,6,5,115
103,6,6,111
103,6,7,208
103,6,8,342
103,6,9,632
103,6,10,856
103,6,11,1092
103,6,12,1519
103,6,13,1826
103,6,14,2087
103,6,15,2267
103,6,16,2617
103,6,17,2693
103,6,18,2428
103,6,19,2271
103,6,20,1876
103,6,21,1454
103,6,22,1521
103,6,23,1439
107,0,0,362
107,0,1,150
107,0,2,54
107,0,3,28
107,0,4,29
107,0,5,28
107,0,6,71
107,0,7,137
107,0,8,262
107,0,9,292
107,0,10,484
107,0,11,729
107,0,12,770
107,0,13,889
107,0,14,950
107,0,15,1022
107,0,16,1182
107,0,17,1270
107,0,18,948
107,0,19,618
107,0,20,483
107,0,21,315
