station_complex_id,dow,hora,share,total_prepandemia
450,2,3,0.00071723,1030351
450,2,4,0.00274664,1030351
450,2,5,0.01090890,1030351
450,2,6,0.01850631,1030351
450,2,7,0.02319016,1030351
450,2,8,0.01826077,1030351
450,2,9,0.01047410,1030351
450,2,10,0.00773329,1030351
450,2,11,0.00596399,1030351
450,2,12,0.00487019,1030351
450,2,13,0.00541466,1030351
450,2,14,0.00677245,1030351
450,2,15,0.00779443,1030351
450,2,16,0.00674333,1030351
450,2,17,0.00651331,1030351
450,2,18,0.00444703,1030351
450,2,19,0.00365215,1030351
450,2,20,0.00269520,1030351
450,2,21,0.00198864,1030351
450,2,22,0.00154025,1030351
450,2,23,0.00072111,1030351
450,3,0,0.00052895,1030351
450,3,1,0.00033387,1030351
450,3,2,0.00037269,1030351
450,3,3,0.00085699,1030351
450,3,4,0.00271849,1030351
450,3,5,0.01115154,1030351
450,3,6,0.01913717,1030351
450,3,7,0.02389671,1030351
450,3,8,0.01892656,1030351
450,3,9,0.01130780,1030351
450,3,10,0.00855825,1030351
450,3,11,0.00623283,1030351
450,3,12,0.00550007,1030351
450,3,13,0.00618527,1030351
450,3,14,0.00773232,1030351
450,3,15,0.00822826,1030351
450,3,16,0.00747415,1030351
450,3,17,0.00688503,1030351
450,3,18,0.00521085,1030351
450,3,19,0.00434318,1030351
450,3,20,0.00289707,1030351
450,3,21,0.00237298,1030351
450,3,22,0.00203814,1030351
450,3,23,0.00090940,1030351
450,4,0,0.00040763,1030351
450,4,1,0.00026011,1030351
450,4,2,0.00029505,1030351
450,4,3,0.00084437,1030351
450,4,4,0.00295822,1030351
450,4,5,0.01173289,1030351
450,4,6,0.02063180,1030351
450,4,7,0.02602123,1030351
450,4,8,0.02071333,1030351
450,4,9,0.01178239,1030351
450,4,10,0.00879991,1030351
450,4,11,0.00642305,1030351
450,4,12,0.00523026,1030351
450,4,13,0.00610666,1030351
450,4,14,0.00787984,1030351
450,4,15,0.00859416,1030351
450,4,16,0.00799145,1030351
450,4,17,0.00733439,1030351
450,4,18,0.00536128,1030351
450,4,19,0.00409666,1030351
450,4,20,0.00292910,1030351
450,4,21,0.00238462,1030351
450,4,22,0.00175862,1030351
450,4,23,0.00096666,1030351
450,5,0,0.00041830,1030351
450,5,1,0.00029505,1030351
450,5,2,0.00032028,1030351
450,5,3,0.00085893,1030351
450,5,4,0.00295239,1030351
450,5,5,0.01161934,1030351
450,5,6,0.02022806,1030351
450,5,7,0.02540493,1030351
450,5,8,0.02018147,1030351
450,5,9,0.01159508,1030351
450,5,10,0.00871354,1030351
450,5,11,0.00638326,1030351
450,5,12,0.00544572,1030351
450,5,13,0.00616877,1030351
450,5,14,0.00803513,1030351
450,5,15,0.00923278,1030351
450,5,16,0.00817974,1030351
450,5,17,0.00760129,1030351
450,5,18,0.00627553,1030351
450,5,19,0.00446159,1030351
450,5,20,0.00344252,1030351
450,5,21,0.00258844,1030351
450,5,22,0.00214781,1030351
450,5,23,0.00126462,1030351
450,6,0,0.00063862,1030351
450,6,1,0.00035328,1030351
450,6,2,0.00034260,1030351
450,6,3,0.00054059,1030351
450,6,4,0.00144708,1030351
450,6,5,0.00400737,1030351
450,6,6,0.00841752,1030351
450,6,7,0.01096034,1030351
450,6,8,0.01013441,1030351
450,6,9,0.00932595,1030351
450,6,10,0.00778861,1030351
450,6,11,0.00666375,1030351
450,6,12,0.00618236,1030351
450,6,13,0.00680545,1030351
450,6,14,0.00767117,1030351
450,6,15,0.00728393,1030351
450,6,16,0.00608239,1030351
450,6,17,0.00546998,1030351
450,6,18,0.00429077,1030351
450,6,19,0.00348619,1030351
450,6,20,0.00290872,1030351
450,6,21,0.00235842,1030351
450,6,22,0.00181006,1030351
450,6,23,0.00122580,1030351
451,0,0,0.00056576,1081740
451,0,1,0.00040583,1081740
451,0,2,0.00038272,1081740
451,0,3,0.00040953,1081740
451,0,4,0.00091242,1081740
451,0,5,0.00166399,1081740
451,0,6,0.00325032,1081740
451,0,7,0.00426997,1081740
451,0,8,0.00512785,1081740
451,0,9,0.00561041,1081740
451,0,10,0.00540056,1081740
451,0,11,0.00488565,1081740
451,0,12,0.00494019,1081740
451,0,13,0.00551704,1081740
451,0,14,0.00622423,1081740
451,0,15,0.00587849,1081740
451,0,16,0.00491800,1081740
451,0,17,0.00419879,1081740
451,0,18,0.00353320,1081740
451,0,19,0.00274835,1081740
451,0,20,0.00212436,1081740
451,0,21,0.00162146,1081740
451,0,22,0.00127850,1081740
451,0,23,0.00073862,1081740
451,1,0,0.00036700,1081740
451,1,1,0.00025792,1081740
451,1,2,0.00029305,1081740
451,1,3,0.00059256,1081740
451,1,4,0.00219646,1081740
451,1,5,0.00780409,1081740
451,1,6,0.01600847,1081740
451,1,7,0.02224749,1081740
451,1,8,0.01766968,1081740
451,1,9,0.00982491,1081740
451,1,10,0.00681587,1081740
451,1,11,0.00513987,1081740
451,1,12,0.00481447,1081740
451,1,13,0.00544308,1081740
451,1,14,0.00652375,1081740
451,1,15,0.00723649,1081740
451,1,16,0.00680663,1081740
451,1,17,0.00645811,1081740
451,1,18,0.00492910,1081740
451,1,19,0.00370422,1081740
451,1,20,0.00269196,1081740
451,1,21,0.00201620,1081740
451,1,22,0.00145969,1081740
451,1,23,0.00075896,1081740
451,2,0,0.00035406,1081740
451,2,1,0.00026716,1081740
451,2,2,0.00025237,1081740
451,2,3,0.00062677,1081740
451,2,4,0.00222142,1081740
451,2,5,0.00810176,1081740
451,2,6,0.01743857,1081740
451,2,7,0.02507442,1081740
451,2,8,0.02064637,1081740
451,2,9,0.01122358,1081740
451,2,10,0.00696101,1081740
451,2,11,0.00525080,1081740
451,2,12,0.00505112,1081740
451,2,13,0.00551704,1081740
451,2,14,0.00646551,1081740
451,2,15,0.00769963,1081740
451,2,16,0.00676133,1081740
451,2,17,0.00665317,1081740
451,2,18,0.00511029,1081740
451,2,19,0.00373010,1081740
451,2,20,0.00265128,1081740
451,2,21,0.00196073,1081740
451,2,22,0.00147540,1081740
451,2,23,0.00075896,1081740
451,3,0,0.00045297,1081740
451,3,1,0.00034944,1081740
451,3,2,0.00037902,1081740
451,3,3,0.00074694,1081740
451,3,4,0.00249505,1081740
451,3,5,0.00842162,1081740
451,3,6,0.01807736,1081740
451,3,7,0.02577422,1081740
451,3,8,0.02139424,1081740
451,3,9,0.01183279,1081740
451,3,10,0.00763769,1081740
451,3,11,0.00571764,1081740
451,3,12,0.00557897,1081740
451,3,13,0.00596631,1081740
451,3,14,0.00742045,1081740
451,3,15,0.00811563,1081740
451,3,16,0.00780502,1081740
451,3,17,0.00716161,1081740
451,3,18,0.00542922,1081740
451,3,19,0.00399726,1081740
451,3,20,0.00294063,1081740
451,3,21,0.00227319,1081740
451,3,22,0.00161037,1081740
451,3,23,0.00088191,1081740
451,4,0,0.00042154,1081740
451,4,1,0.00031986,1081740
451,4,2,0.00030599,1081740
451,4,3,0.00071459,1081740
451,4,4,0.00264481,1081740
451,4,5,0.00902620,1081740
451,4,6,0.01944090,1081740
451,4,7,0.02919186,1081740
451,4,8,0.02376541,1081740
451,4,9,0.01266478,1081740
451,4,10,0.00816740,1081740
451,4,11,0.00587849,1081740
451,4,12,0.00552721,1081740
451,4,13,0.00642483,1081740
451,4,14,0.00776712,1081740
451,4,15,0.00866012,1081740
451,4,16,0.00819605,1081740
451,4,17,0.00749903,1081740
451,4,18,0.00561410,1081740
451,4,19,0.00429955,1081740
451,4,20,0.00315880,1081740
451,4,21,0.00229075,1081740
451,4,22,0.00174349,1081740
451,4,23,0.00095587,1081740
